Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Organism Infraspecific Names Isolate,Annotation Name,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCF_009828985.1,ASM982898v1,Acinetobacter johnsonii,18QD2AZ57W,,GCF_009828985.1-RS_2025_01_02,Contig,03/01/2020,WURO01,72
GCF_044069635.1,ASM4406963v1,Acinetobacter johnsonii,2P07AA,,GCF_044069635.1-RS_2024_10_30,Contig,29/10/2024,JBIPQD01,9
GCF_044069525.1,ASM4406952v1,Acinetobacter johnsonii,2P07AC,,GCF_044069525.1-RS_2024_10_30,Contig,29/10/2024,JBIPQC01,4
GCF_044069555.1,ASM4406955v1,Acinetobacter johnsonii,2P07AD,,GCF_044069555.1-RS_2024_10_30,Contig,29/10/2024,JBIPQB01,2
GCF_044069585.1,ASM4406958v1,Acinetobacter johnsonii,2P08AA,,GCF_044069585.1-RS_2024_10_30,Contig,29/10/2024,JBIPQA01,3
GCF_044069495.1,ASM4406949v1,Acinetobacter johnsonii,2P08AD,,GCF_044069495.1-RS_2024_10_30,Contig,29/10/2024,JBIPPZ01,9
GCF_044069795.1,ASM4406979v1,Acinetobacter johnsonii,3P02AA,,GCF_044069795.1-RS_2024_10_30,Contig,29/10/2024,JBIPQJ01,8
GCF_044069815.1,ASM4406981v1,Acinetobacter johnsonii,3P04AE,,GCF_044069815.1-RS_2024_10_30,Contig,29/10/2024,JBIPQI01,6
GCF_044069775.1,ASM4406977v1,Acinetobacter johnsonii,3P06AB,,GCF_044069775.1-RS_2024_10_30,Contig,29/10/2024,JBIPQH01,8
GCF_044069755.1,ASM4406975v1,Acinetobacter johnsonii,3P06AC,,GCF_044069755.1-RS_2024_10_30,Contig,29/10/2024,JBIPQG01,13
GCF_044069655.1,ASM4406965v1,Acinetobacter johnsonii,3P06AD,,GCF_044069655.1-RS_2024_10_30,Contig,29/10/2024,JBIPQF01,8
GCF_044069575.1,ASM4406957v1,Acinetobacter johnsonii,3P09AC,,GCF_044069575.1-RS_2024_10_30,Contig,29/10/2024,JBIPQE01,4
GCF_044070035.1,ASM4407003v1,Acinetobacter johnsonii,3P2-tot-A,,GCF_044070035.1-RS_2024_10_30,Contig,29/10/2024,JBIPQR01,6
GCF_044069345.1,ASM4406934v1,Acinetobacter johnsonii,3P2-tot-A-2,,GCF_044069345.1-RS_2024_10_30,Contig,29/10/2024,JBIPPX01,3
GCF_044069975.1,ASM4406997v1,Acinetobacter johnsonii,3P2-tot-C,,GCF_044069975.1-RS_2024_10_30,Contig,29/10/2024,JBIPQQ01,5
GCF_044069335.1,ASM4406933v1,Acinetobacter johnsonii,3P4-tot-B,,GCF_044069335.1-RS_2024_10_30,Contig,29/10/2024,JBIPPW01,6
GCF_044069995.1,ASM4406999v1,Acinetobacter johnsonii,3P4-tot-C,,GCF_044069995.1-RS_2024_10_30,Contig,29/10/2024,JBIPQP01,4
GCF_044069955.1,ASM4406995v1,Acinetobacter johnsonii,3P5-tot-B,,GCF_044069955.1-RS_2024_10_30,Contig,29/10/2024,JBIPQO01,7
GCF_044069915.1,ASM4406991v1,Acinetobacter johnsonii,3P6-tot-B,,GCF_044069915.1-RS_2024_10_30,Contig,29/10/2024,JBIPQN01,8
GCF_044069935.1,ASM4406993v1,Acinetobacter johnsonii,3P6-tot-E,,GCF_044069935.1-RS_2024_10_30,Contig,29/10/2024,JBIPQM01,8
GCF_044069895.1,ASM4406989v1,Acinetobacter johnsonii,3P8-tot-A,,GCF_044069895.1-RS_2024_10_30,Contig,29/10/2024,JBIPQL01,6
GCF_044069855.1,ASM4406985v1,Acinetobacter johnsonii,3P8-tot-B,,GCF_044069855.1-RS_2024_10_30,Contig,29/10/2024,JBIPQK01,6
GCF_044069475.1,ASM4406947v1,Acinetobacter johnsonii,3P9-tot-A-2,,GCF_044069475.1-RS_2024_10_30,Contig,29/10/2024,JBIPPY01,6
GCF_947489495.1,2-702.fasta,Acinetobacter johnsonii,,2-702.fasta,GCF_947489495.1-RS_2024_06_05,Contig,27/01/2023,CANLDV01,116
GCF_947498685.1,498.fasta,Acinetobacter johnsonii,,498.fasta,GCF_947498685.1-RS_2024_06_05,Contig,28/01/2023,CANMLB01,112
GCF_008180305.1,ASM818030v1,Acinetobacter johnsonii,Acsw19,,GCF_008180305.1-RS_2025_01_08,Complete Genome,01/09/2019,,4
GCF_003939325.2,ASM393932v2,Acinetobacter johnsonii,AJ_082,,GCF_003939325.2-RS_2025_05_17,Complete Genome,27/07/2021,,7
GCF_003940285.1,ASM394028v1,Acinetobacter johnsonii,AJ_385,,GCF_003940285.1-RS_2025_01_02,Scaffold,12/12/2018,RHXE01,199
GCF_900199565.1,AJ01M,Acinetobacter johnsonii,,AJ01M,GCF_900199565.1-RS_2024_12_25,Contig,30/07/2017,FZRG01,118
GCA_029168455.1,ASM2916845v1,Acinetobacter johnsonii,AJ1044,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Complete Genome,13/03/2023,,3
GCF_021496325.1,ASM2149632v1,Acinetobacter johnsonii,AJ14,,GCF_021496325.1-RS_2025_01_26,Complete Genome,18/01/2022,,2
GCF_021496345.1,ASM2149634v1,Acinetobacter johnsonii,AJ210,,GCF_021496345.1-RS_2025_01_26,Complete Genome,18/01/2022,,2
GCF_001632325.1,ASM163232v1,Acinetobacter johnsonii,Aj2199,,GCF_001632325.1-RS_2024_12_24,Contig,26/04/2016,LVIB01,154
GCF_021496295.1,ASM2149629v1,Acinetobacter johnsonii,AJ312,,GCF_021496295.1-RS_2025_01_26,Complete Genome,18/01/2022,,1
GCF_021496365.1,ASM2149636v1,Acinetobacter johnsonii,AJ413,,GCF_021496365.1-RS_2025_01_26,Complete Genome,18/01/2022,,5
GCA_029168395.1,ASM2916839v1,Acinetobacter johnsonii,AJ572,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Complete Genome,13/03/2023,,2
GCF_037028465.1,ASM3702846v1,Acinetobacter johnsonii,AJO101,,GCF_037028465.1-RS_2025_03_07,Contig,05/03/2024,JAZEZL01,111
GCF_000368805.1,Acin_john_ANC_3681_V1,Acinetobacter johnsonii ANC 3681,ANC 3681,,GCF_000368805.1-RS_2024_12_09,Scaffold,19/04/2013,APPZ01,8
GCF_030867405.1,ASM3086740v1,Acinetobacter johnsonii,AYTCM,,GCF_030867405.1-RS_2024_08_24,Complete Genome,24/08/2023,,12
GCF_012271875.1,ASM1227187v1,Acinetobacter johnsonii,B23,,GCF_012271875.1-RS_2024_07_11,Contig,10/04/2020,NEWE01,17
