,sample_id,size (bp),replicon_type(s),relaxase_type(s)
Acinetobacter_johnsonii_C4.fna,novel_0ea429ed0b805e435f14b415c17c293c,3157,rep_cluster_1260,MOBV
"Acinetobacter_johnsonii_XBB1,_complete.fna",AD732,3978,rep_cluster_1223,MOBV
Acinetobacter_johnsonii_GD03649.fna,AD731,3065,rep_cluster_1223,MOBV
Acinetobacter_johnsonii_GD03851.fna,novel_ffc257b3309262a5b6310dff56e109b5,12994,"rep_cluster_1254,rep_cluster_1259,rep_cluster_2314",MOBQ
Acinetobacter_johnsonii_GD03675.fna,novel_caabca407b0040495d6738f5a3a60d8f,8084,rep_cluster_1172,MOBQ
Acinetobacter_johnsonii_GD03725.fna,novel_78e7d4f9e30c747207dd5e66f65522ba,4678,-,MOBQ
Acinetobacter_johnsonii_GD03770.fna,novel_4569dde4e909e493eee92bebf45f541b,17847,-,MOBQ
Acinetobacter_johnsonii_FDAARGOS_1093.fna,novel_1404fe67aff86782a59ecd44d9d2558b,8087,rep_cluster_1172,MOBQ
Acinetobacter_johnsonii_GD03851.fna,AE840,5617,rep_cluster_1265,MOBQ
Acinetobacter_johnsonii_GD03844.fna,AE379,6243,-,MOBQ
Acinetobacter_johnsonii_GD03675.fna,AE029,7309,-,MOBQ
Acinetobacter_johnsonii_UCO-489.fna,AD749,10665,"rep_cluster_1254,rep_cluster_1254",MOBQ
Acinetobacter_johnsonii_GD03955.fna,AD747,9478,rep_cluster_1254,MOBQ
Acinetobacter_johnsonii_JC_9441_3P6totB.fna,AD642,10490,rep_cluster_1171,MOBQ
Acinetobacter_johnsonii_UCO-489.fna,AD641,6124,-,MOBQ
Acinetobacter_johnsonii_JC_9509_3P02AA.fna,AC600,22584,rep_cluster_1233,MOBQ
Acinetobacter_johnsonii_R960.fna,AC239,9815,rep_cluster_1254,MOBQ
Acinetobacter_johnsonii_GD03768.fna,AB829,15105,rep_cluster_1154,MOBQ
Acinetobacter_johnsonii_FAHZZU3567hy.fna,AB352,5755,rep_cluster_1265,MOBQ
"Acinetobacter_johnsonii_XBB1,_complete.fna",AB349,4724,rep_cluster_1265,MOBQ
Acinetobacter_johnsonii_SH046_genomic.fna,AB347,6715,rep_cluster_1071,MOBQ
Acinetobacter_johnsonii_Acsw19.fna,AB344,11161,rep_cluster_1265,MOBQ
Acinetobacter_johnsonii_498.fna,AA079,44427,-,MOBQ
Acinetobacter_johnsonii_WU_MDCI_Aj40.fna,novel_ae727d98f499a3af365d8d94640e0837,6606,-,"MOBP,MOBQ"
Acinetobacter_johnsonii_GD03768.fna,novel_74992c1597a303626651e2cad39d3328,10640,-,"MOBP,MOBQ"
Acinetobacter_johnsonii_RB2-047.fna,novel_7f0d13e716070084ca60949d2238049a,48736,-,"MOBP,MOBP"
Acinetobacter_johnsonii_Aj2199.fna,novel_20a22e0ebd73394376ee5c74b1692394,104382,-,"MOBP,MOBP"
Acinetobacter_johnsonii_UN03-31.fna,novel_ee4a1ec58c43a516a08ad124bddb9dc4,50860,-,MOBP
Acinetobacter_johnsonii_GD04065.fna,novel_da1bf4ab28882bf06a32f97fbd51cef8,46638,-,MOBP
Acinetobacter_johnsonii_GD03955.fna,novel_d2c11271c9d1e4f7fd7f7a5d04b8ba58,48627,-,MOBP
Acinetobacter_johnsonii_498.fna,novel_b9b0233a98676c54061b1bf42affaf2c,61560,-,MOBP
Acinetobacter_johnsonii_GD03844.fna,novel_b7314078c931bb773765ee8daae4beca,65287,-,MOBP
Acinetobacter_johnsonii_HNAS0100.fna,novel_ac4d7979991477744ee8d3041415a345,57003,-,MOBP
Acinetobacter_johnsonii_GD03851.fna,novel_9a9399afccf097a70261e3ce5f2efeeb,47921,-,MOBP
Acinetobacter_johnsonii_SH046_genomic.fna,novel_8ba3c07836fc38293e78d4c3846a9d4a,4721,-,MOBP
Acinetobacter_johnsonii_E154408A.fna,AH350,14806,-,-
Acinetobacter_johnsonii_JC_9558_2P07AA.fna,AH350,10905,-,-
Acinetobacter_johnsonii_GD04060.fna,novel_850748c8eb6395e456b91358ee67cf1f,75197,-,MOBP
Acinetobacter_johnsonii_Aj2199.fna,AH141,5688,-,-
Acinetobacter_johnsonii_GD03675.fna,novel_608fb005b9fe0c8ebafdfa620d0b6ff3,40171,-,MOBP
Acinetobacter_johnsonii_FDAARGOS_1094.fna,novel_59a2be1cde380218ed54d3e047104c36,1889,-,MOBP
Acinetobacter_johnsonii_UCO-489.fna,novel_52c18f9649d3f92fb03615cf198a50c5,65651,-,MOBP
Acinetobacter_johnsonii_GD03885.fna,novel_211cbff9c50e927bf75fa474787d33af,45237,-,MOBP
Acinetobacter_johnsonii_UCO-489.fna,novel_1a1bf6f2923e7a4cbf611966059271ec,52403,-,MOBP
Acinetobacter_johnsonii_GD03750.fna,AF837,13557,-,MOBC
Acinetobacter_johnsonii_GD03675.fna,novel_03f447036515681e5430c4d1507424dd,67282,-,MOBP
Acinetobacter_johnsonii_18QD2AZ57W.fna,AD312,16585,-,MOBP
Acinetobacter_johnsonii_FDAARGOS_1093.fna,AE840,4389,rep_cluster_1265,MOBQ
Acinetobacter_johnsonii_SAAj643.fna,AE840,7033,rep_cluster_1265,MOBQ
Acinetobacter_johnsonii_E154408A.fna,AE840,6304,rep_cluster_1265,MOBQ
Acinetobacter_johnsonii_FDAARGOS_1094.fna,AE840,5929,rep_cluster_1265,MOBQ
"Acinetobacter_johnsonii_XBB1,_complete.fna",AC974,117483,rep_cluster_639,MOBP
Acinetobacter_johnsonii_UCO-489.fna,AC941,43189,rep_cluster_639,MOBP
Acinetobacter_johnsonii_GD03833.fna,AE581,5663,-,-
Acinetobacter_johnsonii_WCHAJo010049.fna,AE581,1020,-,-
Acinetobacter_johnsonii_AJ1044.fna,AC935,261987,-,MOBP
Acinetobacter_johnsonii_FDAARGOS_1092.fna,AE379,3618,-,MOBQ
Acinetobacter_johnsonii_FAHZZU3567hy.fna,AC861,116745,rep_cluster_1218,MOBP
